================================================================================
        IO-VNBD PREPROCESSING & FEATURE ENGINEERING REPORT (STEP 3)
================================================================================
Total Sequences Discovered: 241
Output Processed Directory: C:\Users\mathu\OneDrive\Desktop\AI-IDR\dataset\processed
--------------------------------------------------------------------------------
[1/241] S-A1: 5942 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[2/241] S-A10: 8886 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[3/241] S-A11: 5155 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[4/241] S-A12: 4673 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[5/241] S-A13: 9184 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[6/241] S-A2: 11630 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[7/241] S-A3: 11132 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[8/241] S-A4: 32829 samples | Mean dt: nanms | Median dt: nanms | % 100ms: 0.0%
[9/241] S-A5: 85041 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[10/241] S-A6: 86034 samples | Mean dt: 99.2ms | Median dt: 100.0ms | % 100ms: 98.6%
[11/241] S-A7: 43872 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[12/241] S-A8: 66617 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[13/241] S-A9: 11962 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[14/241] S-I: 5800 samples | Mean dt: 100.0ms | Median dt: 97.0ms | % 100ms: 50.7%
[15/241] S-M: 105974 samples | Mean dt: 58.3ms | Median dt: 51.0ms | % 100ms: 16.6%
[16/241] S-M: 105974 samples | Mean dt: 58.3ms | Median dt: 51.0ms | % 100ms: 16.6%
[17/241] S-M: 105974 samples | Mean dt: 58.3ms | Median dt: 51.0ms | % 100ms: 16.6%
[18/241] S-S1: 51746 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[19/241] S-S1: 51746 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[20/241] S-S1: 51746 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[21/241] S-S2: 93876 samples | Mean dt: 98.0ms | Median dt: 100.0ms | % 100ms: 98.0%
[22/241] S-S2: 93876 samples | Mean dt: 98.0ms | Median dt: 100.0ms | % 100ms: 98.0%
[23/241] S-S2: 93876 samples | Mean dt: 98.0ms | Median dt: 100.0ms | % 100ms: 98.0%
[24/241] S-S3a: 24621 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[25/241] S-S3a: 24621 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[26/241] S-S3a: 24621 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[27/241] S-S3b: 6813 samples | Mean dt: 397.5ms | Median dt: 100.0ms | % 100ms: 100.0%
